function,signal,connector,pin,cm4_net,cm4_func,voltage_domain,pinmux_conflict,board_connects_to,device_tree_status,priority,source_verified
SAI,SAI1_SDO0,J1,29,SAI1_SDO0_M0,SAI1_SDO0_M0 (GPIO4_A7),1.8V (VCCIO_AUDIO),none,Class-D Amp DIN,sai1 playback,P0,True
SAI,SAI1_MCLK,J1,23,SAI1_MCLK_M0,SAI1_MCLK_M0 (GPIO4_A2),1.8V (VCCIO_AUDIO),none,Unused/DNP: MAX98357A does not require MCLK,unused unless future codec needs mclk,P1,True
Control,GPIO_SPKR_EN,J1,96,SPK_CTL_H,GPIO2_C6,1.8V (VCCIO6),none (dedicated speaker ctl),Class-D Amp SD/EN,gpio (amp enable),P0,True
USB,USB2_OTG0_DP,J3B,105,USB2_OTG0_DP,USB2_OTG0_DP,USB 3.3V analog (90Ω),none,USB-C D+ (via ESD),usb2 otg0 / dwc3,P0,True
USB,USB2_OTG0_DM,J3B,103,USB2_OTG0_DM,USB2_OTG0_DM,USB 3.3V analog (90Ω),none,USB-C D- (via ESD),usb2 otg0 / dwc3,P0,True
UART,UART0_TX_M0_DEBUG,J3A,55,UART0_TX_M0_DEBUG,UART0_TX_M0,1.8V (VCCIO6),none (dedicated debug),Debug header TX,console UART0,P0,True
UART,UART0_RX_M0_DEBUG,J3A,51,UART0_RX_M0_DEBUG,UART0_RX_M0,1.8V (VCCIO6),none,Debug header RX,console UART0,P0,True
GNSS,GNSS_UART_TX,J3A,47,UART7_TX_M0,UART7_TX_M0 (GPIO2_B6),1.8V (VCCIO6),none,GNSS module RXD (CM4→GNSS),uart7 / gnss nmea,P0,True
GNSS,GNSS_UART_RX,J3A,45,UART7_RX_M0,UART7_RX_M0 (GPIO2_B7),1.8V (VCCIO6),none,GNSS module TXD (GNSS→CM4),uart7 / gnss nmea,P0,True
GNSS,GNSS_PPS,J3A,40,SPI1_MISO_M0,GPIO1_B6,1.8V (VCCIO6),none (used as GPIO),GNSS PPS to CM4 GPIO,pps-gpio,P0,True
GNSS,GNSS_RST_n,J3A,44,SPI1_MOSI_M0,GPIO1_B5,1.8V (VCCIO6),none (used as GPIO),GNSS RESET/EN (active-low),gpio,P0,True
Control,RECOVERY_n,J3A,93,MASKROM,nRPIBOOT / SARADC_IN0_BOOT,1.8V,none (dedicated),RECOVERY button to GND (force USB maskrom),boot select,P0,True
Control,RESET_n,J3A,92,RESET_L,NPOR,1.8V,none (dedicated),RESET button (open-drain to GND),soc reset,P0,True
Control,POWER_KEY,J3A,99,PWRON_L,PWRON,1.8V,none (dedicated),Power button (active-low),power key,P0,True
Control,WL_nDIS,J3A,89,WL_NDIS,WL_NDIS,1.8V,none (dedicated),Pull-up; default Wi-Fi enabled,rfkill,P0,True
Control,BT_nDIS,J3A,91,BT_NDIS,GPIO2_C1,1.8V,none (dedicated),Pull-up; default BT enabled,rfkill,P0,True
Control,LED_PWR_n,J3A,95,NPWR_LED,GPIO2_C4,1.8V (VCCIO6),none,Power LED (active-low sink),gpio-leds,P0,True
Control,LED_STATUS_n,J3A,21,PI_NLED_ACTIVITY,GPIO2_D0,1.8V (VCCIO6),none,Status LED (active-low sink),gpio-leds,P0,True
I2C,I2C_IMU_SCL,J3A,56,I2C8_SCL_M1,I2C8_SCL_M1 (GPIO1_C6),1.8V (VCCIO6),I2C8 (separate from camera I2C0),IMU SCL,i2c8,P1,True
I2C,I2C_IMU_SDA,J3A,58,I2C8_SDA_M1,I2C8_SDA_M1 (GPIO1_C7),1.8V (VCCIO6),I2C8,IMU SDA,i2c8,P1,True
Control,IMU_INT1,J3A,30,GPIO1_C1,GPIO1_C1,1.8V (VCCIO6),none,IMU INT1,interrupt-gpio,P1,True
Control,VIB_PWM,J3A,48,PWM1_CH0_M2,PWM1_CH0_M2 (GPIO2_C0),1.8V (VCCIO6),PWM-capable pin,Vibration driver IN/PWM,pwm,P1,True
Control,VIB_EN,J3A,34,CAN1_TX_M3,GPIO3_A2,1.8V (VCCIO6),none,Vibration driver EN,gpio,P1,True
I2C,FUEL_I2C_SCL,J3A,35,I2C6_SCL_M3,I2C6_SCL_M3 (GPIO4_C6),1.8V (VCCIO6),I2C6 (separate from camera/IMU),Charger+Fuel gauge SCL,i2c6,P1,True
I2C,FUEL_I2C_SDA,J3A,36,I2C6_SDA_M3,I2C6_SDA_M3 (GPIO4_C7),1.8V (VCCIO6),I2C6,Charger+Fuel gauge SDA,i2c6,P1,True
Control,CHG_INT_n,J3A,37,SPI1_CSN1_M0,GPIO1_C0,1.8V (VCCIO6),none,Charger interrupt,interrupt-gpio,P1,True
Control,LOW_BAT_INT_n,J3A,39,SPI1_CSN0_M0,GPIO1_B7,1.8V (VCCIO6),none,Fuel-gauge low-batt alert,interrupt-gpio,P1,True
