ref,value,assembly,package_register,freeze_status,body_size,footprint_status,not_for_fab_required,next_action
RS6,50 mohm 1%,Fit,AI_Glasses_V2:R_0603_shunt,Fit,None x None x None,candidate; verify official drawing/land pattern/height before layout,CHECK,20-100 mohm
RT3,10k NTC B=3435,Fit,AI_Glasses_V2:R_0402,Fit,None x None x None,candidate; verify official drawing/land pattern/height before layout,CHECK,Probe position per thermal sim
U1,RK3576,Fit,AI_Glasses_V2:VERIFY_FCCSP698L_16x17,HOLD,16.1 x 17.2 x None,NOT_FOR_FAB placeholder; not release-ready,YES,G01 (RK3576 datasheet/HDG/ballmap/DDR guide)
U11,FCU760KAAMD,HOLD,AI_Glasses_V2:VERIFY_LCC_13x12.2_Quectel,HOLD,13.0 x 12.2 x 2.0,NOT_FOR_FAB placeholder; not release-ready,YES,G05 (Quectel HW Design + RK3576 BSP driver/firmware/enum) + official LCC land pattern
U12,TPS62825,Fit,AI_Glasses_V2:QFN_1.5x1.5,PROVISIONAL,1.5 x 1.5 x None,candidate; verify official drawing/land pattern/height before layout,CHECK,G05/G06 (inductor/caps per module 353mA TX peak + ripple)
U13,TPS22917DBVR,Fit,Package_TO_SOT_SMD:SOT-23-5,Fit,None x None x None,candidate; verify official drawing/land pattern/height before layout,CHECK,G05 (turn-on sequence w/ module)
U2,RK806S-5,HOLD,AI_Glasses_V2:VERIFY_QFN,HOLD,None x None x None,NOT_FOR_FAB placeholder; not release-ready,YES,G03 (RK806S MPN/inductors/caps/timing per Radxa/Rockchip FAE)
U20,MAX98360A,Fit,AI_Glasses_V2:VERIFY_WLP_QFN,PROVISIONAL,None x None x None,NOT_FOR_FAB placeholder; not release-ready,YES,Verify Z/cavity/EMI/peak power
U21,TPS22917DBVR,Fit,Package_TO_SOT_SMD:SOT-23-5,Fit,None x None x None,candidate; verify official drawing/land pattern/height before layout,CHECK,Amp must be fully power-downable (V1 lesson)
U28,INA238 (I_SOC_5V),DNP,AI_Glasses_V2:VSSOP-10,DNP,None x None x None,DNP; do not treat as release BOM,YES,Power Gate — EVT-A only
U29,INA238 (I_WIFI),DNP,AI_Glasses_V2:VSSOP-10,DNP,None x None x None,DNP; do not treat as release BOM,YES,Power Gate — EVT-A only
U3,LPDDR4X 4GB (MPN TBD),HOLD,AI_Glasses_V2:VERIFY_BGA,HOLD,None x None x None,NOT_FOR_FAB placeholder; not release-ready,YES,"G02 (LPDDR4X MPN/topology/placement, DDR review + length report)"
U30,INA238 (I_AUDIO),DNP,AI_Glasses_V2:VSSOP-10,DNP,None x None x None,DNP; do not treat as release BOM,YES,Power Gate — EVT-A only
U4,eMMC 5.1 32GB (MPN TBD),HOLD,AI_Glasses_V2:VERIFY_BGA153,HOLD,None x None x None,NOT_FOR_FAB placeholder; not release-ready,YES,G04 (eMMC MPN + BSP/bootloader; cold-boot + power-loss recovery)
U5,MX25U6432F,DNP,AI_Glasses_V2:USON-8,DNP,None x None x None,DNP; do not treat as release BOM,YES,Boot flow decides whether production needs it
U6,TPS61088,HOLD,AI_Glasses_V2:VQFN-22_4.5x3.5,HOLD,4.5 x 3.5 x None,candidate; verify official drawing/land pattern/height before layout,YES,"G06/G09 (measured RK3576 boot+AI peak, soft-start, droop, thermal)"
Y1,24 MHz 10 ppm XTAL,Fit,AI_Glasses_V2:Crystal_SMD_3225,PROVISIONAL,3.2 x 2.5 x None,candidate; verify official drawing/land pattern/height before layout,CHECK,G01 (reuse reference CL/ESR + placement distance per HDG)
BT1,LP451165 300mAh (R),HOLD,AI_Glasses_V2:VERIFY_CELL_4.5x11x65,HOLD,70.0 x 12.8 x 5.6,NOT_FOR_FAB placeholder; not release-ready,YES,"G07 (full datasheet, >=2C, IR, cycles, cert)"
BT2,LP451165 300mAh (L),HOLD,AI_Glasses_V2:VERIFY_CELL_70x12.8x5.6_maxenv,HOLD,70.0 x 12.8 x 5.6,NOT_FOR_FAB placeholder; not release-ready,YES,G07
F1,PTC/fuse (R branch),TBD,AI_Glasses_V2:VERIFY_FUSE,TBD,None x None x None,NOT_FOR_FAB placeholder; not release-ready,YES,"Rating from peak-current calc (> branch peak, < FPC rating)"
F2,PTC/fuse (L branch),TBD,AI_Glasses_V2:VERIFY_FUSE,TBD,None x None x None,NOT_FOR_FAB placeholder; not release-ready,YES,Rating from peak-current calc
J1,Magnetic pogo 4-6p,TBD,AI_Glasses_V2:VERIFY_POGO,TBD,10.0 x 3.0 x None,NOT_FOR_FAB placeholder; not release-ready,YES,"Magnet direction, sweat corrosion, short, cycle life"
J4,Custom hinge FPC 6-10mm,HOLD,AI_Glasses_V2:VERIFY_HINGE_FPC,HOLD,None x 6-10 x 0.10-0.18,NOT_FOR_FAB placeholder; not release-ready,YES,"G12 (impedance, bend radius, life, hinge interference)"
J5,U.FL / I-PEX MHF,Fit,Connector_Coaxial:U.FL_Hirose_U.FL-R-SMT-1_Vertical,Fit,None x None x None,candidate; verify official drawing/land pattern/height before layout,CHECK,Connector height + mating life
J6,BLE 2.4 GHz FPC/PCB ant,TBD,AI_Glasses_V2:VERIFY_ANT,TBD,None x None x None,NOT_FOR_FAB placeholder; not release-ready,YES,Worn-state tuning; clear of battery/metal
J7,Wi-Fi 2.4/5 GHz FPC ant,TBD,AI_Glasses_V2:VERIFY_ANT,TBD,None x None x None,NOT_FOR_FAB placeholder; not release-ready,YES,Head-loaded RSSI/throughput/SAR; keep-out
LS1,8 ohm 0.5-1 W speaker,TBD,AI_Glasses_V2:VERIFY_SPK,TBD,None x None x None,NOT_FOR_FAB placeholder; not release-ready,YES,MPN after acoustic cavity/volume/leak test
LS2,2nd speaker pad,DNP,AI_Glasses_V2:VERIFY_SPK,DNP,None x None x None,NOT_FOR_FAB placeholder; not release-ready,YES,Decide dual-speaker at EVT-B
M1,LRA/ERM motor,DNP,AI_Glasses_V2:VERIFY_LRA,DNP,None x None x None,NOT_FOR_FAB placeholder; not release-ready,YES,Vibration P1
RS2,10 mohm 1%,Fit,AI_Glasses_V2:R_0805_shunt,Fit,None x None x None,candidate; verify official drawing/land pattern/height before layout,CHECK,Branch current-share (§7/§29)
RS3,10 mohm 1%,Fit,AI_Glasses_V2:R_0805_shunt,Fit,None x None x None,candidate; verify official drawing/land pattern/height before layout,CHECK,Branch current-share (§7/§29)
RT1,10k NTC (R cell),Fit,AI_Glasses_V2:R_0402,PROVISIONAL,None x None x None,candidate; verify official drawing/land pattern/height before layout,CHECK,NTC curve matched to nPM1300 charger config
RT2,10k NTC (L cell),Fit,AI_Glasses_V2:R_0402,PROVISIONAL,None x None x None,candidate; verify official drawing/land pattern/height before layout,CHECK,NTC curve matched to nPM1300 charger config
TP2,Battery test points,Fit,AI_Glasses_V2:TestPad_Set,Fit,None x None x None,candidate; verify official drawing/land pattern/height before layout,CHECK,Cell/pack voltage + NTC probe access (§21)
U26,INA238 (I_CELL_L),DNP,AI_Glasses_V2:VSSOP-10,DNP,None x None x None,DNP; do not treat as release BOM,YES,Power Gate — EVT-A only (current-share)
U27,INA238 (I_CELL_R),DNP,AI_Glasses_V2:VSSOP-10,DNP,None x None x None,DNP; do not treat as release BOM,YES,Power Gate — EVT-A only (current-share)
CAM_FPC,custom camera FPC TBD,HOLD,,HOLD,None x None x None,virtual; no KiCad footprint,YES,close gate/source data before PCB layout
CAM_LENS,Radxa Camera 4K AS001 lens candidate,HOLD,,HOLD,32.5 x 32.5 x 18.0,virtual; no KiCad footprint,YES,close gate/source data before PCB layout
