net,signal_name,kind,domain,direction,source,destination,default_state,pull,diff_pair,cross_domain,isolation,layout_rule,esd,endpoint_count,boards,endpoints,note
SOC_XOUT,SOC XOUT,signal,TBD,see endpoints,U1.XOUT (R-Temple Compute Board),Y1.XOUT (R-Temple Compute Board),TBD at pinmux freeze,none / TBD,no,no,not a power-domain crossing,standard layout; verify at pinmux/placement,no / TBD,2,R-Temple Compute Board,U1.XOUT=RK3576; Y1.XOUT=24 MHz 10 ppm XTAL,derived from endpoints; verify at the owning gate
PMIC_SLEEP,PMIC SLEEP,control,1.8V unless final pinmux says otherwise,see endpoints,U1.PMIC_SLEEP (R-Temple Compute Board),U2.SLEEP (R-Temple Compute Board),TBD at pinmux freeze,none / TBD,no,no,not a power-domain crossing,keep away from SW nodes; verify default pull before MCU boot,no / TBD,2,R-Temple Compute Board,U1.PMIC_SLEEP=RK3576; U2.SLEEP=RK806S-5,derived from endpoints; verify at the owning gate
SOC_SHUTDOWN_REQ,Linux shutdown request handshake,control,1.8V,nRF->RK3576,nRF,RK3576,low,none / TBD,no,yes,required: default-safe pull + leakage/reverse-feed check,keep away from SW nodes; verify default pull before MCU boot,no / TBD,3,L-Temple AON/Power Board; R-Temple Compute Board; Temple Rears (batt/spkr/ant),U1.SHUTDOWN_REQ=RK3576; U7.SOC_SHDN_REQ=nRF54L15-QFN48; J4.SOC_SHDN_REQ=Custom hinge FPC 6-10mm,request Linux shutdown
SOC_SAFE_TO_OFF,Linux safe-to-remove-power handshake,control,1.8V,RK3576->nRF,RK3576,nRF,low,none / TBD,no,yes,required: default-safe pull + leakage/reverse-feed check,keep away from SW nodes; verify default pull before MCU boot,no / TBD,3,L-Temple AON/Power Board; R-Temple Compute Board; Temple Rears (batt/spkr/ant),U1.SAFE_TO_OFF=RK3576; U7.SOC_SAFE_OFF=nRF54L15-QFN48; J4.SOC_SAFE_OFF=Custom hinge FPC 6-10mm,"synced, safe to cut SOC_5V"
SOC_ALIVE,RK3576 liveness heartbeat,control,1.8V,RK3576->nRF,RK3576,nRF,low,none / TBD,no,yes,required: default-safe pull + leakage/reverse-feed check,keep away from SW nodes; verify default pull before MCU boot,no / TBD,3,L-Temple AON/Power Board; R-Temple Compute Board; Temple Rears (batt/spkr/ant),U1.ALIVE=RK3576; U7.SOC_ALIVE=nRF54L15-QFN48; J4.SOC_ALIVE=Custom hinge FPC 6-10mm,liveness
SOC_FAULT,RK3576 fault indication,control,1.8V,RK3576->nRF,RK3576,nRF,low,none / TBD,no,yes,required: default-safe pull + leakage/reverse-feed check,keep away from SW nodes; verify default pull before MCU boot,no / TBD,3,L-Temple AON/Power Board; R-Temple Compute Board; Temple Rears (batt/spkr/ant),U1.FAULT=RK3576; U7.SOC_FAULT=nRF54L15-QFN48; J4.SOC_FAULT=Custom hinge FPC 6-10mm,fault
AON_UART_TX,AON UART TX,bus,1.8V,nRF->RK3576,nRF,RK3576,idle high,none / TBD,no,yes,required: default-safe pull + leakage/reverse-feed check,standard layout; verify at pinmux/placement,no / TBD,3,L-Temple AON/Power Board; R-Temple Compute Board; Temple Rears (batt/spkr/ant),U1.AON_UART_RX=RK3576; U7.AON_UART_TX=nRF54L15-QFN48; J4.AON_UART_TX=Custom hinge FPC 6-10mm,series 0R/33R + reverse-feed check when SoC off
AON_UART_RX,AON UART RX,bus,1.8V,RK3576->nRF,RK3576,nRF,idle high,none / TBD,no,yes,required: default-safe pull + leakage/reverse-feed check,standard layout; verify at pinmux/placement,no / TBD,3,L-Temple AON/Power Board; R-Temple Compute Board; Temple Rears (batt/spkr/ant),U1.AON_UART_TX=RK3576; U7.AON_UART_RX=nRF54L15-QFN48; J4.AON_UART_RX=Custom hinge FPC 6-10mm,derived from endpoints; verify at the owning gate
DDR_BUS,DDR BUS,bus,1.8V unless final pinmux says otherwise,see endpoints,U1.DDR_BUS (R-Temple Compute Board),U3.DDR_BUS (R-Temple Compute Board),TBD at pinmux freeze,none / TBD,no,no,not a power-domain crossing,standard layout; verify at pinmux/placement,no / TBD,2,R-Temple Compute Board,U1.DDR_BUS=RK3576; U3.DDR_BUS=LPDDR4X 4GB (MPN TBD),derived from endpoints; verify at the owning gate
EMMC_BUS,EMMC BUS,bus,1.8V unless final pinmux says otherwise,see endpoints,U1.EMMC_BUS (R-Temple Compute Board),U4.EMMC_BUS (R-Temple Compute Board),TBD at pinmux freeze,none / TBD,no,no,not a power-domain crossing,standard layout; verify at pinmux/placement,no / TBD,2,R-Temple Compute Board,U1.EMMC_BUS=RK3576; U4.EMMC_BUS=eMMC 5.1 32GB (MPN TBD),derived from endpoints; verify at the owning gate
FSPI_BUS,FSPI BUS,bus,1.8V unless final pinmux says otherwise,see endpoints,U1.FSPI_BUS (R-Temple Compute Board),U5.FSPI_BUS (R-Temple Compute Board),TBD at pinmux freeze,none / TBD,no,no,not a power-domain crossing,standard layout; verify at pinmux/placement,no / TBD,2,R-Temple Compute Board,U1.FSPI_BUS=RK3576; U5.FSPI_BUS=MX25U6432F,derived from endpoints; verify at the owning gate
CSI_CLK_P,CSI CLK P,diff,1.2V,camera->RK3576,camera,RK3576,hi-Z,none / TBD,CSI_CLK_N,yes,required: default-safe pull + leakage/reverse-feed check,"100 ohm diff, length match, continuous ground, no stubs, ESD at FPC","yes, low-cap at FPC entry (U18/U19)",4,Front Sensor Board; R-Temple Compute Board,U1.CSI_CLK_P=RK3576; U14.CSI_CLK_P=IMX415-AAQR module (custom FPC); U18.CLK_P=TPD4E05U06; J3.CSI_CLK_P=Hirose FH26W 0.3mm FPC,"MIPI 100R diff, ultra-low-cap ESD, no stub"
CSI_CLK_N,CSI CLK N,diff,1.2V,camera->RK3576,camera,RK3576,hi-Z,none / TBD,CSI_CLK_P,yes,required: default-safe pull + leakage/reverse-feed check,"100 ohm diff, length match, continuous ground, no stubs, ESD at FPC","yes, low-cap at FPC entry (U18/U19)",4,Front Sensor Board; R-Temple Compute Board,U1.CSI_CLK_N=RK3576; U14.CSI_CLK_N=IMX415-AAQR module (custom FPC); U18.CLK_N=TPD4E05U06; J3.CSI_CLK_N=Hirose FH26W 0.3mm FPC,MIPI 100R diff
CSI_D0_P,CSI D0 P,diff,1.2V,camera->RK3576,camera,RK3576,hi-Z,none / TBD,CSI_D0_N,yes,required: default-safe pull + leakage/reverse-feed check,"100 ohm diff, length match, continuous ground, no stubs, ESD at FPC","yes, low-cap at FPC entry (U18/U19)",4,Front Sensor Board; R-Temple Compute Board,U1.CSI_D0_P=RK3576; U14.CSI_D0_P=IMX415-AAQR module (custom FPC); U18.D0_P=TPD4E05U06; J3.CSI_D0_P=Hirose FH26W 0.3mm FPC,MIPI 100R diff
CSI_D0_N,CSI D0 N,diff,MIPI D-PHY,camera->RK3576,camera,RK3576,hi-Z when source domain is off,none / TBD,CSI_D0_P,yes,required: default-safe pull + leakage/reverse-feed check,"100 ohm diff, length match, continuous ground, no stubs, ESD at FPC","yes, low-cap at FPC entry (U18/U19)",4,Front Sensor Board; R-Temple Compute Board,U1.CSI_D0_N=RK3576; U14.CSI_D0_N=IMX415-AAQR module (custom FPC); U18.D0_N=TPD4E05U06; J3.CSI_D0_N=Hirose FH26W 0.3mm FPC,derived from endpoints; verify at the owning gate
CSI_D1_P,CSI D1 P,diff,1.2V,camera->RK3576,camera,RK3576,hi-Z,none / TBD,CSI_D1_N,yes,required: default-safe pull + leakage/reverse-feed check,"100 ohm diff, length match, continuous ground, no stubs, ESD at FPC","yes, low-cap at FPC entry (U18/U19)",4,Front Sensor Board; R-Temple Compute Board,U1.CSI_D1_P=RK3576; U14.CSI_D1_P=IMX415-AAQR module (custom FPC); U19.D1_P=TPD4E05U06; J3.CSI_D1_P=Hirose FH26W 0.3mm FPC,MIPI 100R diff
CSI_D1_N,CSI D1 N,diff,MIPI D-PHY,camera->RK3576,camera,RK3576,hi-Z when source domain is off,none / TBD,CSI_D1_P,yes,required: default-safe pull + leakage/reverse-feed check,"100 ohm diff, length match, continuous ground, no stubs, ESD at FPC","yes, low-cap at FPC entry (U18/U19)",4,Front Sensor Board; R-Temple Compute Board,U1.CSI_D1_N=RK3576; U14.CSI_D1_N=IMX415-AAQR module (custom FPC); U19.D1_N=TPD4E05U06; J3.CSI_D1_N=Hirose FH26W 0.3mm FPC,derived from endpoints; verify at the owning gate
CAM_I2C_SCL,CAM I2C SCL,bus,1.8V unless final pinmux says otherwise,controller->targets,controller,targets,pulled high,2.2k to CAM_1V8_SW (R5/R6),no,yes,required: default-safe pull + leakage/reverse-feed check,standard layout; verify at pinmux/placement,no / TBD,4,Front Sensor Board; R-Temple Compute Board,U1.CAM_I2C_SCL=RK3576; U14.SCL=IMX415-AAQR module (custom FPC); J3.CAM_I2C_SCL=Hirose FH26W 0.3mm FPC; R5.B=2.2k 1%,derived from endpoints; verify at the owning gate
CAM_I2C_SDA,CAM I2C SDA,bus,1.8V unless final pinmux says otherwise,bidirectional open-drain,U1.CAM_I2C_SDA (R-Temple Compute Board),U14.SDA (Front Sensor Board); J3.CAM_I2C_SDA (Front Sensor Board); R6.B (Front Sensor Board),pulled high,2.2k to CAM_1V8_SW (R5/R6),no,yes,required: default-safe pull + leakage/reverse-feed check,standard layout; verify at pinmux/placement,no / TBD,4,Front Sensor Board; R-Temple Compute Board,U1.CAM_I2C_SDA=RK3576; U14.SDA=IMX415-AAQR module (custom FPC); J3.CAM_I2C_SDA=Hirose FH26W 0.3mm FPC; R6.B=2.2k 1%,derived from endpoints; verify at the owning gate
CAM_RST_L,CAM RST L,control,1.8V,RK3576->cam,RK3576,cam,low (XCLR held),none / TBD,no,yes,required: default-safe pull + leakage/reverse-feed check,keep away from SW nodes; verify default pull before MCU boot,no / TBD,4,Front Sensor Board; R-Temple Compute Board,U1.CAM_RST_L=RK3576; U14.XCLR_L=IMX415-AAQR module (custom FPC); U19.RST=TPD4E05U06; J3.CAM_RST_L=Hirose FH26W 0.3mm FPC,active low; hold low until rails+clock up (§24)
CAM_PWDN_L,CAM PWDN L,control,1.8V,RK3576->cam,RK3576,cam,low,none / TBD,no,yes,required: default-safe pull + leakage/reverse-feed check,keep away from SW nodes; verify default pull before MCU boot,no / TBD,3,Front Sensor Board; R-Temple Compute Board,U1.CAM_PWDN_L=RK3576; U14.PWDN_L=IMX415-AAQR module (custom FPC); J3.CAM_PWDN_L=Hirose FH26W 0.3mm FPC,derived from endpoints; verify at the owning gate
CAM_MCLK,CAM MCLK,control,1.8V,RK3576->cam,RK3576,cam,off,none / TBD,no,yes,required: default-safe pull + leakage/reverse-feed check,keep away from SW nodes; verify default pull before MCU boot,no / TBD,4,Front Sensor Board; R-Temple Compute Board,U1.CAM_MCLK=RK3576; U14.INCK=IMX415-AAQR module (custom FPC); U19.MCLK=TPD4E05U06; J3.CAM_MCLK=Hirose FH26W 0.3mm FPC,INCK; enable only after rails stable (§24)
PDM_ARRAY_CLK,Array-mic PDM clock,bus,AON,RK3576->mic,RK3576,mic,off,none / TBD,no,yes,required: default-safe pull + leakage/reverse-feed check,"short clock, continuous ground; keep out of boost/SW/RF zones",no / TBD,5,Front Sensor Board; R-Temple Compute Board,U1.PDM_ARR_CLK=RK3576; MK2.CLK=T5837 (array mic 1); MK3.CLK=T5837 (array mic 2); MK4.CLK=T5837 (4th mic); J3.PDM_ARR_CLK=Hirose FH26W 0.3mm FPC,array PDM; 0R to select NDP120/RK3576 path
PDM_ARRAY_D0,Array-mic PDM data 0,bus,1.8V unless final pinmux says otherwise,array mics->RK3576,array mics,RK3576,TBD at pinmux freeze,none / TBD,no,yes,required: default-safe pull + leakage/reverse-feed check,"short clock, continuous ground; keep out of boost/SW/RF zones",no / TBD,3,Front Sensor Board; R-Temple Compute Board,U1.PDM_ARR_D0=RK3576; MK2.DATA=T5837 (array mic 1); J3.PDM_ARR_D0=Hirose FH26W 0.3mm FPC,derived from endpoints; verify at the owning gate
PDM_ARRAY_D1,Array-mic PDM data 1,bus,1.8V unless final pinmux says otherwise,array mics->RK3576,array mics,RK3576,TBD at pinmux freeze,none / TBD,no,yes,required: default-safe pull + leakage/reverse-feed check,"short clock, continuous ground; keep out of boost/SW/RF zones",no / TBD,4,Front Sensor Board; R-Temple Compute Board,U1.PDM_ARR_D1=RK3576; MK3.DATA=T5837 (array mic 2); MK4.DATA=T5837 (4th mic); J3.PDM_ARR_D1=Hirose FH26W 0.3mm FPC,derived from endpoints; verify at the owning gate
I2S_BCLK,I2S BCLK,bus,1.8V unless final pinmux says otherwise,RK3576->amp,RK3576,amp,TBD at pinmux freeze,none / TBD,no,no,not a power-domain crossing,standard layout; verify at pinmux/placement,no / TBD,2,R-Temple Compute Board,U1.I2S_BCLK=RK3576; U20.BCLK=MAX98360A,derived from endpoints; verify at the owning gate
I2S_LRCLK,I2S LRCLK,bus,1.8V unless final pinmux says otherwise,RK3576->amp,RK3576,amp,TBD at pinmux freeze,none / TBD,no,no,not a power-domain crossing,standard layout; verify at pinmux/placement,no / TBD,2,R-Temple Compute Board,U1.I2S_LRCLK=RK3576; U20.LRCLK=MAX98360A,derived from endpoints; verify at the owning gate
I2S_DIN,I2S DIN,bus,1.8V unless final pinmux says otherwise,RK3576->amp,RK3576,amp,TBD at pinmux freeze,none / TBD,no,no,not a power-domain crossing,standard layout; verify at pinmux/placement,no / TBD,2,R-Temple Compute Board,U1.I2S_DIN=RK3576; U20.DIN=MAX98360A,derived from endpoints; verify at the owning gate
SOC_NTC,SOC NTC,analog,TBD,see endpoints,U1.SARADC_NTC (R-Temple Compute Board),RT3.A (R-Temple Compute Board),passive / sensed,none / TBD,no,no,not a power-domain crossing,standard layout; verify at pinmux/placement,no / TBD,2,R-Temple Compute Board,U1.SARADC_NTC=RK3576; RT3.A=10k NTC B=3435,derived from endpoints; verify at the owning gate
WIFI_USB_DP,WIFI USB DP,diff,3.3V,bidirectional,U1.USB2_WIFI_DP (R-Temple Compute Board),U11.USB_DP (R-Temple Compute Board),hi-Z,none / TBD,WIFI_USB_DM,no,not a power-domain crossing,"90 ohm diff, pair route, no stubs, continuous ground",module-internal side; add only if HW Design requires,2,R-Temple Compute Board,U1.USB2_WIFI_DP=RK3576; U11.USB_DP=FCU760KAAMD,FCU760K USB2 90R diff (internal)
WIFI_USB_DM,WIFI USB DM,diff,3.3V,bidirectional,U1.USB2_WIFI_DM (R-Temple Compute Board),U11.USB_DM (R-Temple Compute Board),hi-Z,none / TBD,WIFI_USB_DP,no,not a power-domain crossing,"90 ohm diff, pair route, no stubs, continuous ground",module-internal side; add only if HW Design requires,2,R-Temple Compute Board,U1.USB2_WIFI_DM=RK3576; U11.USB_DM=FCU760KAAMD,FCU760K USB2 90R diff (internal)
WIFI_PCM_CLK,WIFI PCM CLK,bus,1.8V unless final pinmux says otherwise,see endpoints,U1.PCM_CLK (R-Temple Compute Board),U11.PCM_CLK (R-Temple Compute Board),TBD at pinmux freeze,none / TBD,no,no,not a power-domain crossing,standard layout; verify at pinmux/placement,no / TBD,2,R-Temple Compute Board,U1.PCM_CLK=RK3576; U11.PCM_CLK=FCU760KAAMD,derived from endpoints; verify at the owning gate
WIFI_PCM_SYNC,WIFI PCM SYNC,bus,1.8V unless final pinmux says otherwise,see endpoints,U1.PCM_SYNC (R-Temple Compute Board),U11.PCM_SYNC (R-Temple Compute Board),TBD at pinmux freeze,none / TBD,no,no,not a power-domain crossing,standard layout; verify at pinmux/placement,no / TBD,2,R-Temple Compute Board,U1.PCM_SYNC=RK3576; U11.PCM_SYNC=FCU760KAAMD,derived from endpoints; verify at the owning gate
WIFI_PCM_DIN,WIFI PCM DIN,bus,1.8V unless final pinmux says otherwise,see endpoints,U1.PCM_DIN (R-Temple Compute Board),U11.PCM_OUT (R-Temple Compute Board),TBD at pinmux freeze,none / TBD,no,no,not a power-domain crossing,standard layout; verify at pinmux/placement,no / TBD,2,R-Temple Compute Board,U1.PCM_DIN=RK3576; U11.PCM_OUT=FCU760KAAMD,derived from endpoints; verify at the owning gate
WIFI_PCM_DOUT,WIFI PCM DOUT,bus,1.8V unless final pinmux says otherwise,see endpoints,U1.PCM_DOUT (R-Temple Compute Board),U11.PCM_IN (R-Temple Compute Board),TBD at pinmux freeze,none / TBD,no,no,not a power-domain crossing,standard layout; verify at pinmux/placement,no / TBD,2,R-Temple Compute Board,U1.PCM_DOUT=RK3576; U11.PCM_IN=FCU760KAAMD,derived from endpoints; verify at the owning gate
WIFI_WAKE_L,WIFI WAKE L,control,1.8V unless final pinmux says otherwise,see endpoints,U1.WIFI_WAKE_L (R-Temple Compute Board),U11.WAKE (R-Temple Compute Board),TBD at pinmux freeze,none / TBD,no,no,not a power-domain crossing,keep away from SW nodes; verify default pull before MCU boot,no / TBD,2,R-Temple Compute Board,U1.WIFI_WAKE_L=RK3576; U11.WAKE=FCU760KAAMD,derived from endpoints; verify at the owning gate
USB2_DP,USB2 DP,diff,3.3V,bidirectional,U1.USB2_DP (R-Temple Compute Board),J1.DP (Temple Rears (batt/spkr/ant)); J2.DP (EVT Debug Tail); U24.DP (EVT Debug Tail),hi-Z,none / TBD,USB2_DM,yes,required: default-safe pull + leakage/reverse-feed check,"90 ohm diff, pair route, no stubs, continuous ground","yes, low-cap at connector (U24)",4,EVT Debug Tail; R-Temple Compute Board; Temple Rears (batt/spkr/ant),U1.USB2_DP=RK3576; J1.DP=Magnetic pogo 4-6p; J2.DP=USB-C 16p USB2-only; U24.DP=TPD2E001,"USB2 90R diff, ESD at connector"
USB2_DM,USB2 DM,diff,3.3V,bidirectional,U1.USB2_DM (R-Temple Compute Board),J1.DM (Temple Rears (batt/spkr/ant)); J2.DM (EVT Debug Tail); U24.DM (EVT Debug Tail),hi-Z,none / TBD,USB2_DP,yes,required: default-safe pull + leakage/reverse-feed check,"90 ohm diff, pair route, no stubs, continuous ground","yes, low-cap at connector (U24)",4,EVT Debug Tail; R-Temple Compute Board; Temple Rears (batt/spkr/ant),U1.USB2_DM=RK3576; J1.DM=Magnetic pogo 4-6p; J2.DM=USB-C 16p USB2-only; U24.DM=TPD2E001,USB2 90R diff
SOC_DBG_TX,SOC DBG TX,signal,TBD,see endpoints,U1.DBG_UART_TX (R-Temple Compute Board),TP1.SOC_TX (EVT Debug Tail),TBD at pinmux freeze,none / TBD,no,no,not a power-domain crossing,standard layout; verify at pinmux/placement,no / TBD,2,EVT Debug Tail; R-Temple Compute Board,U1.DBG_UART_TX=RK3576; TP1.SOC_TX=UART/SWD pogo pads,derived from endpoints; verify at the owning gate
SOC_DBG_RX,SOC DBG RX,signal,TBD,see endpoints,U1.DBG_UART_RX (R-Temple Compute Board),TP1.SOC_RX (EVT Debug Tail),TBD at pinmux freeze,none / TBD,no,no,not a power-domain crossing,standard layout; verify at pinmux/placement,no / TBD,2,EVT Debug Tail; R-Temple Compute Board,U1.DBG_UART_RX=RK3576; TP1.SOC_RX=UART/SWD pogo pads,derived from endpoints; verify at the owning gate
SOC_MASKROM_L,SOC MASKROM L,control,1.8V unless final pinmux says otherwise,see endpoints,U1.MASKROM_n (R-Temple Compute Board),SW3.A (EVT Debug Tail),low or pulled to safe state until firmware owns it,none / TBD,no,yes,required: default-safe pull + leakage/reverse-feed check,keep away from SW nodes; verify default pull before MCU boot,no / TBD,2,EVT Debug Tail; R-Temple Compute Board,U1.MASKROM_n=RK3576; SW3.A=MaskROM/Recovery,derived from endpoints; verify at the owning gate
SOC_RESET_L,"RK3576 reset, active low",control,1.8V,nRF/btn->RK3576,nRF/btn,RK3576,low (reset),none / TBD,no,yes,required: default-safe pull + leakage/reverse-feed check,keep away from SW nodes; verify default pull before MCU boot,no / TBD,3,EVT Debug Tail; R-Temple Compute Board,U1.RESET_n=RK3576; U2.RESET_n=RK806S-5; SW2.A=Reset,active low
SOC_PWRKEY,SOC PWRKEY,control,1.8V unless final pinmux says otherwise,see endpoints,U1.PWRKEY (R-Temple Compute Board),SW1.A (EVT Debug Tail),TBD at pinmux freeze,none / TBD,no,yes,required: default-safe pull + leakage/reverse-feed check,keep away from SW nodes; verify default pull before MCU boot,no / TBD,2,EVT Debug Tail; R-Temple Compute Board,U1.PWRKEY=RK3576; SW1.A=Power/PWRKEY,derived from endpoints; verify at the owning gate
SOC_5V,SOC 5V,power,5V,source->loads,TPS61088 boost output,loads,off,none / TBD,no,no,not a power-domain crossing,wide/short copper; local decoupling; current-sense Kelvin where named,no / TBD,2,R-Temple Compute Board,U2.VIN=RK806S-5; U6.VOUT=TPS61088,"TPS61088 boost, gated"
PMIC_PWRON,RK806 PMIC power-on request,control,1.8V,nRF->RK806,nRF,RK806,low (OFF),100k pulldown (R11-R20),no,yes,required: default-safe pull + leakage/reverse-feed check,keep away from SW nodes; verify default pull before MCU boot,no / TBD,4,L-Temple AON/Power Board; R-Temple Compute Board; Temple Rears (batt/spkr/ant),U2.PWRON=RK806S-5; U7.PMIC_PWRON=nRF54L15-QFN48; J4.PMIC_PWRON=Custom hinge FPC 6-10mm; R12.A=100k,100k pulldown; into SoC domain
SOC_PMIC_SCL,SOC PMIC SCL,signal,TBD,controller->targets,controller,targets,TBD at pinmux freeze,2.2k to VCCIO_1V8 (R9/R10),no,no,not a power-domain crossing,standard layout; verify at pinmux/placement,no / TBD,2,R-Temple Compute Board,U2.I2C_SCL=RK806S-5; R9.B=2.2k 1%,derived from endpoints; verify at the owning gate
SOC_PMIC_SDA,SOC PMIC SDA,signal,TBD,bidirectional open-drain,U2.I2C_SDA (R-Temple Compute Board),R10.B (R-Temple Compute Board),TBD at pinmux freeze,2.2k to VCCIO_1V8 (R9/R10),no,no,not a power-domain crossing,standard layout; verify at pinmux/placement,no / TBD,2,R-Temple Compute Board,U2.I2C_SDA=RK806S-5; R10.B=2.2k 1%,derived from endpoints; verify at the owning gate
