functional_block,reference_designator,bom_id,manufacturer,exact_mpn,description,board_region,assembly_status,package,body_length_mm,body_width_mm,body_height_mm,land_pattern,courtyard,keepout,pin_pitch,mass_g,operating_voltage,typical_power,peak_power,thermal_notes,placement_notes,source_document,source_revision,source_page,source_url_or_file,confidence,freeze_status,schematic_status,footprint_status,3d_model_status,next_action
wake microphone,MK1,C013a,TDK InvenSense,T5837,PDM wake mic — dedicated always-on wake channel into NDP120 (AON audio domain). Deep Off must capture without RK3576.,Front Sensor Board,Fit,bottom-port LGA-5,3.5,2.65,0.98,AI_Glasses_V2:LGA-5_3.5x2.65,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,AON microphone rail/PDM,3 mW wake-mic budget,TBD by mode,TBD after thermal review,"Requires sound port, acoustic keep-out and wind/AEC placement review.",AI Glasses Hardware Dimensions V2.3,2026-07-01,pp. 1-10,/Users/stanley/Downloads/AI_Glasses_Hardware_Dimensions_V2.3.pdf,medium; project extraction from BOM PDFs,PROVISIONAL,present in current schematic,candidate; verify official drawing/land pattern/height before layout,HOLD/TBD; no verified aligned STEP in V2 KiCad,G11 (mic coords/ports/wind/wake + AEC/beamforming)
array microphone 1,MK2,C013b,TDK InvenSense,T5837,PDM array mic 1 — into RK3576 PDM for beamforming during vision/voice tasks.,Front Sensor Board,Fit,bottom-port LGA-5,3.5,2.65,0.98,AI_Glasses_V2:LGA-5_3.5x2.65,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,camera/compute audio PDM rail,array mic share in active states,TBD by mode,TBD after thermal review,Mic coordinate spacing and port path remain G11.,AI Glasses Hardware Dimensions V2.3,2026-07-01,pp. 1-10,/Users/stanley/Downloads/AI_Glasses_Hardware_Dimensions_V2.3.pdf,medium; project extraction from BOM PDFs,PROVISIONAL,present in current schematic,candidate; verify official drawing/land pattern/height before layout,HOLD/TBD; no verified aligned STEP in V2 KiCad,G11
array microphone 2,MK3,C013c,TDK InvenSense,T5837,PDM array mic 2 — second array channel (L/R stereo on shared PDM clock).,Front Sensor Board,Fit,bottom-port LGA-5,3.5,2.65,0.98,AI_Glasses_V2:LGA-5_3.5x2.65,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,camera/compute audio PDM rail,array mic share in active states,TBD by mode,TBD after thermal review,Mic coordinate spacing and port path remain G11.,AI Glasses Hardware Dimensions V2.3,2026-07-01,pp. 1-10,/Users/stanley/Downloads/AI_Glasses_Hardware_Dimensions_V2.3.pdf,medium; project extraction from BOM PDFs,PROVISIONAL,present in current schematic,candidate; verify official drawing/land pattern/height before layout,HOLD/TBD; no verified aligned STEP in V2 KiCad,G11
Front Sensor Board,MK4,C014,TBD,T5837 (4th mic),"4th array mic — footprint only; on the switchable AON_LSW2 rail (nPM1300 load switch, §14 'spare mic') so it can be fully powered down. Not populated until array/wind tests.",Front Sensor Board,DNP,AI_Glasses_V2:LGA-5_3.5x2.65,,,,AI_Glasses_V2:LGA-5_3.5x2.65,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,TBD,TBD,TBD,TBD after thermal review,,Current V2 generated schematic/BOM master,generated 2026-07-01,scripts/chipdown_bom.py,v2_chipdown/scripts/chipdown_bom.py,high for current project intent; not a package drawing,DNP,present in current schematic,DNP; do not treat as release BOM,HOLD/TBD; no verified aligned STEP in V2 KiCad,G11 (populate only if array sim/proto needs it)
Front Sensor Board,R13,C046c,TBD,100k,CAM_1V1_EN pull-down — camera core buck default OFF.,Front Sensor Board,Fit,AI_Glasses_V2:R_0402,,,,AI_Glasses_V2:R_0402,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,TBD,TBD,TBD,TBD after thermal review,,Current V2 generated schematic/BOM master,generated 2026-07-01,scripts/chipdown_bom.py,v2_chipdown/scripts/chipdown_bom.py,high for current project intent; not a package drawing,Fit,present in current schematic,candidate; verify official drawing/land pattern/height before layout,HOLD/TBD; no verified aligned STEP in V2 KiCad,Default OFF (§4)
Front Sensor Board,R14,C046d,TBD,100k,CAM_1V8_EN pull-down — camera I/O load switch default OFF.,Front Sensor Board,Fit,AI_Glasses_V2:R_0402,,,,AI_Glasses_V2:R_0402,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,TBD,TBD,TBD,TBD after thermal review,,Current V2 generated schematic/BOM master,generated 2026-07-01,scripts/chipdown_bom.py,v2_chipdown/scripts/chipdown_bom.py,high for current project intent; not a package drawing,Fit,present in current schematic,candidate; verify official drawing/land pattern/height before layout,HOLD/TBD; no verified aligned STEP in V2 KiCad,Default OFF (§4)
Front Sensor Board,R15,C046e,TBD,100k,CAM_2V9_EN pull-down — camera analog LDO default OFF.,Front Sensor Board,Fit,AI_Glasses_V2:R_0402,,,,AI_Glasses_V2:R_0402,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,TBD,TBD,TBD,TBD after thermal review,,Current V2 generated schematic/BOM master,generated 2026-07-01,scripts/chipdown_bom.py,v2_chipdown/scripts/chipdown_bom.py,high for current project intent; not a package drawing,Fit,present in current schematic,candidate; verify official drawing/land pattern/height before layout,HOLD/TBD; no verified aligned STEP in V2 KiCad,Default OFF (§4)
Front Sensor Board,R5,C045c,TBD,2.2k 1%,Camera I2C SCL pull-up to CAM_1V8_SW.,Front Sensor Board,Fit,AI_Glasses_V2:R_0402,,,,AI_Glasses_V2:R_0402,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,TBD,TBD,TBD,TBD after thermal review,,Current V2 generated schematic/BOM master,generated 2026-07-01,scripts/chipdown_bom.py,v2_chipdown/scripts/chipdown_bom.py,high for current project intent; not a package drawing,Fit,present in current schematic,candidate; verify official drawing/land pattern/height before layout,HOLD/TBD; no verified aligned STEP in V2 KiCad,Confirm vs camera bus capacitance
Front Sensor Board,R6,C045d,TBD,2.2k 1%,Camera I2C SDA pull-up to CAM_1V8_SW.,Front Sensor Board,Fit,AI_Glasses_V2:R_0402,,,,AI_Glasses_V2:R_0402,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,TBD,TBD,TBD,TBD after thermal review,,Current V2 generated schematic/BOM master,generated 2026-07-01,scripts/chipdown_bom.py,v2_chipdown/scripts/chipdown_bom.py,high for current project intent; not a package drawing,Fit,present in current schematic,candidate; verify official drawing/land pattern/height before layout,HOLD/TBD; no verified aligned STEP in V2 KiCad,Confirm vs camera bus capacitance
Front Sensor Board,RS7,C044-RC1,TBD,100 mohm 1%,Camera DVDD shunt — CAM_1V1 -> CAM_1V1_S (I_CAM_1V1).,Front Sensor Board,Fit,AI_Glasses_V2:R_0603_shunt,,,,AI_Glasses_V2:R_0603_shunt,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,TBD,TBD,TBD,TBD after thermal review,,Current V2 generated schematic/BOM master,generated 2026-07-01,scripts/chipdown_bom.py,v2_chipdown/scripts/chipdown_bom.py,high for current project intent; not a package drawing,Fit,present in current schematic,candidate; verify official drawing/land pattern/height before layout,HOLD/TBD; no verified aligned STEP in V2 KiCad,Per-rail Kelvin (§23/§29); DVDD ~250mA
Front Sensor Board,RS8,C044-RC8,TBD,100 mohm 1%,Camera IOVDD shunt — CAM_1V8_SW -> CAM_1V8_S (I_CAM_1V8).,Front Sensor Board,Fit,AI_Glasses_V2:R_0402_shunt,,,,AI_Glasses_V2:R_0402_shunt,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,TBD,TBD,TBD,TBD after thermal review,,Current V2 generated schematic/BOM master,generated 2026-07-01,scripts/chipdown_bom.py,v2_chipdown/scripts/chipdown_bom.py,high for current project intent; not a package drawing,Fit,present in current schematic,candidate; verify official drawing/land pattern/height before layout,HOLD/TBD; no verified aligned STEP in V2 KiCad,Per-rail Kelvin (§23/§29); IOVDD ~3mA
Front Sensor Board,RS9,C044-RC29,TBD,100 mohm 1%,Camera AVDD shunt — CAM_2V9 -> CAM_2V9_S (I_CAM_2V9).,Front Sensor Board,Fit,AI_Glasses_V2:R_0603_shunt,,,,AI_Glasses_V2:R_0603_shunt,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,TBD,TBD,TBD,TBD after thermal review,,Current V2 generated schematic/BOM master,generated 2026-07-01,scripts/chipdown_bom.py,v2_chipdown/scripts/chipdown_bom.py,high for current project intent; not a package drawing,Fit,present in current schematic,candidate; verify official drawing/land pattern/height before layout,HOLD/TBD; no verified aligned STEP in V2 KiCad,Per-rail Kelvin (§23/§29); AVDD ~156mA
camera module,U14,C019,Sony / module supplier TBD,IMX415-AAQR custom FPC module; Radxa Camera 4K AS001 is only a candidate mechanical baseline,"Main camera module — 8.46 MP, first target 1080p30/60, MIPI CSI. Custom small sensor+lens rigid island + FPC (NOT the dev module). Sensor rails (Sony datasheet): AVDD 2.9V 128/156mA, IOVDD 1.8V 3mA, DVDD 1.1V 187/250mA (~0.58W typ, ~0.77W max).",Front Sensor Board,HOLD,custom sensor+lens+FPC module,,,,AI_Glasses_V2:VERIFY_CAM_MODULE,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,"CAM_1V1, CAM_1V8_SW, CAM_2V9",250-300 mW camera row in current model,bare-sensor/module rail currents TBD,TBD after thermal review,"Current schematic says custom FPC module. The external V2.3 dimensions PDF freezes Radxa AS001 at 32.5 x 32.5 x 18.0 mm, but that is not yet schematic-aligned.",Sony IMX415-AAQR-C Datasheet E19504,"Official edition, 2019-05-21","pp. 1, 3, 97",AI_Glasses_HOLD_Closure_Pack/04_IMX415/IMX415-AAQR-C_Datasheet_E19504.pdf,high for bare sensor; low for final module mechanics,HOLD,present in current schematic,NOT_FOR_FAB placeholder; not release-ready,HOLD/TBD; no verified aligned STEP in V2 KiCad,G10 (module lens/FOV/FPC pinout/lane/supply/timing from vendor)
camera 1.1 V buck,U15,C020,Texas Instruments,TPS62840,"Camera DVDD 1.1 V buck — ultra-low-Iq (~60 nA) buck for the sensor core (DVDD 187/250mA), up to ~750 mA. EN by AON MCU / SoC. True power-down when camera off.",Front Sensor Board,Fit,WSON/VSON/DSBGA variant TBD,,,,AI_Glasses_V2:VERIFY_WSON,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,CAM_1V1,15-18 mW loss allocation when camera active,DVDD current plus margin,TBD after thermal review,Exact package and inductor/cap choices still need freeze.,AI Glasses Hardware Dimensions V2.3,2026-07-01,pp. 1-10,/Users/stanley/Downloads/AI_Glasses_Hardware_Dimensions_V2.3.pdf,medium; project extraction from BOM PDFs,PROVISIONAL,present in current schematic,NOT_FOR_FAB placeholder; not release-ready,HOLD/TBD; no verified aligned STEP in V2 KiCad,Output current/noise per final module (DVDD ~250mA max + margin)
camera 2.9 V LDO,U16,C021,Texas Instruments,TLV75529PDRVR,"Camera AVDD 2.9 V LDO — 500 mA low-noise analog supply (AVDD 128/156mA). Low-noise LDO, NOT a series resistor off 3.3V (pack §23).",Front Sensor Board,Fit,WSON-6 2 x 2 mm,2.0,2.0,,AI_Glasses_V2:WSON-6_2x2,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,CAM_2V9,14-16 mW loss allocation when camera active,IMX415 AVDD current plus thermal,TBD after thermal review,Verify package suffix and PSRR/noise versus final camera module.,AI Glasses Hardware Dimensions V2.3,2026-07-01,pp. 1-10,/Users/stanley/Downloads/AI_Glasses_Hardware_Dimensions_V2.3.pdf,medium; project extraction from BOM PDFs,PROVISIONAL,present in current schematic,candidate; verify official drawing/land pattern/height before layout,HOLD/TBD; no verified aligned STEP in V2 KiCad,Verify vs IMX415 AVDD peak (156mA) + PSRR
camera 1.8 V load switch,U17,C022,Texas Instruments,TPS22917DBVR,Camera IOVDD 1.8 V load switch / isolation — low-leak switch from AON_1V8 for camera I/O (IOVDD ~3mA); Quick-Output-Discharge kills reverse feed when camera off (§24).,Front Sensor Board,Fit,SOT-23-5,2.9,2.8,,Package_TO_SOT_SMD:SOT-23-5,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,AON_1V8 to CAM_1V8_SW,~1 mW loss allocation,"IOVDD current, reverse-block/QOD check",TBD after thermal review,Confirm QOD/reverse feed when camera off.,AI Glasses Hardware Dimensions V2.3,2026-07-01,pp. 1-10,/Users/stanley/Downloads/AI_Glasses_Hardware_Dimensions_V2.3.pdf,medium; project extraction from BOM PDFs,PROVISIONAL,present in current schematic,candidate; verify official drawing/land pattern/height before layout,HOLD/TBD; no verified aligned STEP in V2 KiCad,"Check reverse block, ramp, QOD, logic level"
MIPI/FPC ESD array 1,U18,C023a,Texas Instruments,TPD4E05U06,MIPI/FPC ESD (clk + D0) — ultra-low-cap 4-ch ESD at the FPC entry.,Front Sensor Board,Fit,USON low-cap array,2.5,1.0,,AI_Glasses_V2:USON,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,MIPI/low-cap ESD,leakage only,ESD clamp,TBD after thermal review,Must be close to FPC entry and not stub MIPI lines.,AI Glasses Hardware Dimensions V2.3,2026-07-01,pp. 1-10,/Users/stanley/Downloads/AI_Glasses_Hardware_Dimensions_V2.3.pdf,medium; project extraction from BOM PDFs,PROVISIONAL,present in current schematic,candidate; verify official drawing/land pattern/height before layout,HOLD/TBD; no verified aligned STEP in V2 KiCad,Low-cap array near FPC entry
MIPI/FPC ESD array 2,U19,C023b,Texas Instruments,TPD4E05U06,MIPI/FPC ESD (D1 + control) — ultra-low-cap ESD for the second lane pair.,Front Sensor Board,Fit,USON low-cap array,2.5,1.0,,AI_Glasses_V2:USON,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,MIPI/low-cap ESD,leakage only,ESD clamp,TBD after thermal review,Must be close to FPC entry and not stub MIPI lines.,AI Glasses Hardware Dimensions V2.3,2026-07-01,pp. 1-10,/Users/stanley/Downloads/AI_Glasses_Hardware_Dimensions_V2.3.pdf,medium; project extraction from BOM PDFs,PROVISIONAL,present in current schematic,candidate; verify official drawing/land pattern/height before layout,HOLD/TBD; no verified aligned STEP in V2 KiCad,Low-cap array near FPC entry
Front Sensor Board,U31,C044-IC1,TBD,INA238 (I_CAM_1V1),Camera DVDD monitor across RS7 — sensor core draw + off-leakage.,Front Sensor Board,DNP,AI_Glasses_V2:VSSOP-10,,,,AI_Glasses_V2:VSSOP-10,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,TBD,TBD,TBD,TBD after thermal review,,Current V2 generated schematic/BOM master,generated 2026-07-01,scripts/chipdown_bom.py,v2_chipdown/scripts/chipdown_bom.py,high for current project intent; not a package drawing,DNP,present in current schematic,DNP; do not treat as release BOM,HOLD/TBD; no verified aligned STEP in V2 KiCad,Power Gate — EVT-A only
Front Sensor Board,U32,C044-IC8,TBD,INA238 (I_CAM_1V8),Camera IOVDD monitor across RS8 — I/O draw + off-leakage.,Front Sensor Board,DNP,AI_Glasses_V2:VSSOP-10,,,,AI_Glasses_V2:VSSOP-10,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,TBD,TBD,TBD,TBD after thermal review,,Current V2 generated schematic/BOM master,generated 2026-07-01,scripts/chipdown_bom.py,v2_chipdown/scripts/chipdown_bom.py,high for current project intent; not a package drawing,DNP,present in current schematic,DNP; do not treat as release BOM,HOLD/TBD; no verified aligned STEP in V2 KiCad,Power Gate — EVT-A only
Front Sensor Board,U33,C044-IC29,TBD,INA238 (I_CAM_2V9),Camera AVDD monitor across RS9 — analog draw + off-leakage.,Front Sensor Board,DNP,AI_Glasses_V2:VSSOP-10,,,,AI_Glasses_V2:VSSOP-10,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,TBD,TBD,TBD,TBD after thermal review,,Current V2 generated schematic/BOM master,generated 2026-07-01,scripts/chipdown_bom.py,v2_chipdown/scripts/chipdown_bom.py,high for current project intent; not a package drawing,DNP,present in current schematic,DNP; do not treat as release BOM,HOLD/TBD; no verified aligned STEP in V2 KiCad,Power Gate — EVT-A only
L-Temple AON/Power Board,C2,C032-Cv,TBD,0.1uF,BQ2970 VDD-VSS decoupling (DNP with protection).,L-Temple AON/Power Board,DNP,AI_Glasses_V2:C_0402,,,,AI_Glasses_V2:C_0402,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,TBD,TBD,TBD,TBD after thermal review,,Current V2 generated schematic/BOM master,generated 2026-07-01,scripts/chipdown_bom.py,v2_chipdown/scripts/chipdown_bom.py,high for current project intent; not a package drawing,DNP,present in current schematic,DNP; do not treat as release BOM,HOLD/TBD; no verified aligned STEP in V2 KiCad,Per BQ2970 app
optional battery protection MOSFETs,Q1,C032-Q,TBD,dual back-to-back N-MOSFET TBD,Back-to-back protection NMOS — discharge + charge FETs between CELL_NEG and pack GND; gates driven by BQ2970 DO/CO. DNP with U23.,L-Temple AON/Power Board,DNP,DFN dual-FET TBD,,,,AI_Glasses_V2:VERIFY_DFN_2FET,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,cell negative protection path,DNP,"RDS(on), VDS and pulse current TBD",TBD after thermal review,Only used with BQ2970 fallback. Must not be populated together with incompatible pack PCM path.,Current V2 generated schematic/BOM master,generated 2026-07-01,scripts/chipdown_bom.py,v2_chipdown/scripts/chipdown_bom.py,high for current project intent; not a package drawing,DNP,present in current schematic,NOT_FOR_FAB placeholder; not release-ready,HOLD/TBD; no verified aligned STEP in V2 KiCad,Vds/RDSon/Vgs/peak per BQ2970 app (§17)
L-Temple AON/Power Board,R21,C032-BYP,TBD,0R (pack-PCM baseline),Cell-negative bypass — ties CELL_NEG to pack GND when the supplier 1S2P pack already integrates its PCM. DNP this and populate U23+Q1 only if doing board-level protection.,L-Temple AON/Power Board,Fit,AI_Glasses_V2:R_0805,,,,AI_Glasses_V2:R_0805,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,TBD,TBD,TBD,TBD after thermal review,,Current V2 generated schematic/BOM master,generated 2026-07-01,scripts/chipdown_bom.py,v2_chipdown/scripts/chipdown_bom.py,high for current project intent; not a package drawing,Fit,present in current schematic,candidate; verify official drawing/land pattern/height before layout,HOLD/TBD; no verified aligned STEP in V2 KiCad,"Populate 0R OR discrete protection, never both (§17)"
L-Temple AON/Power Board,R22,C032-Rv,TBD,330R,BQ2970 VDD series R — from BAT_P (DNP with protection).,L-Temple AON/Power Board,DNP,AI_Glasses_V2:R_0402,,,,AI_Glasses_V2:R_0402,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,TBD,TBD,TBD,TBD after thermal review,,Current V2 generated schematic/BOM master,generated 2026-07-01,scripts/chipdown_bom.py,v2_chipdown/scripts/chipdown_bom.py,high for current project intent; not a package drawing,DNP,present in current schematic,DNP; do not treat as release BOM,HOLD/TBD; no verified aligned STEP in V2 KiCad,Per BQ2970 app
L-Temple AON/Power Board,R23,C032-Rm,TBD,2k,BQ2970 V- sense R — to pack GND (DNP with protection).,L-Temple AON/Power Board,DNP,AI_Glasses_V2:R_0402,,,,AI_Glasses_V2:R_0402,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,TBD,TBD,TBD,TBD after thermal review,,Current V2 generated schematic/BOM master,generated 2026-07-01,scripts/chipdown_bom.py,v2_chipdown/scripts/chipdown_bom.py,high for current project intent; not a package drawing,DNP,present in current schematic,DNP; do not treat as release BOM,HOLD/TBD; no verified aligned STEP in V2 KiCad,Per BQ2970 app (V- sense)
L-Temple AON/Power Board,R3,C045a,TBD,2.2k 1%,AON I2C SCL pull-up to AON_1V8 (nPM1300/BMI270/INA238 bus).,L-Temple AON/Power Board,Fit,AI_Glasses_V2:R_0402,,,,AI_Glasses_V2:R_0402,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,TBD,TBD,TBD,TBD after thermal review,,Current V2 generated schematic/BOM master,generated 2026-07-01,scripts/chipdown_bom.py,v2_chipdown/scripts/chipdown_bom.py,high for current project intent; not a package drawing,Fit,present in current schematic,candidate; verify official drawing/land pattern/height before layout,HOLD/TBD; no verified aligned STEP in V2 KiCad,Confirm vs total AON bus capacitance
L-Temple AON/Power Board,R4,C045b,TBD,2.2k 1%,AON I2C SDA pull-up to AON_1V8.,L-Temple AON/Power Board,Fit,AI_Glasses_V2:R_0402,,,,AI_Glasses_V2:R_0402,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,TBD,TBD,TBD,TBD after thermal review,,Current V2 generated schematic/BOM master,generated 2026-07-01,scripts/chipdown_bom.py,v2_chipdown/scripts/chipdown_bom.py,high for current project intent; not a package drawing,Fit,present in current schematic,candidate; verify official drawing/land pattern/height before layout,HOLD/TBD; no verified aligned STEP in V2 KiCad,Confirm vs total AON bus capacitance
